epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.417524,6.07997,7.71645,2.07945,0.00333,0.2,0.00254,0.00127,2.27404,3.78456,1.74912,0,0,0
2,0.873244,4.86564,6.42875,1.59483,0.00333,0.2,0.0025,0.00125,2.27711,3.78047,1.74231,1.934e-05,1.934e-05,1.934e-05
3,1.29467,6.30542,8.12175,2.5331,0.00333,0.2,0.0025,0.00125,2.27711,3.78047,1.74231,3.736e-05,3.736e-05,3.736e-05
4,1.75048,5.3387,8.59584,2.18801,0.00333,0.2,0.00262,0.00157,2.21158,3.80476,1.64146,5.406e-05,5.406e-05,5.406e-05
5,2.17169,5.63152,10.6994,3.1127,0.00333,0.2,0.00262,0.00157,2.21158,3.80476,1.64146,6.944e-05,6.944e-05,6.944e-05
6,2.60611,6.11141,7.61424,1.94344,0.00333,0.2,0.00262,0.00157,2.21158,3.80476,1.64146,8.35e-05,8.35e-05,8.35e-05
7,3.08777,5.69149,10.7986,1.9792,0.00333,0.2,0.00264,0.00158,2.05301,3.7541,1.40728,9.624e-05,9.624e-05,9.624e-05
8,3.51155,5.29653,6.16358,1.67298,0.00333,0.2,0.00264,0.00158,2.05301,3.7541,1.40728,0.00010766,0.00010766,0.00010766
9,3.97811,5.64152,6.35438,1.71123,0.00333,0.2,0.00264,0.00158,2.05301,3.7541,1.40728,0.00011776,0.00011776,0.00011776
10,4.40719,4.4265,6.45311,2.56208,0.00333,0.2,0.00264,0.00158,2.05301,3.7541,1.40728,0.00012654,0.00012654,0.00012654
11,4.89556,2.74271,7.40291,0.77184,0.00667,0.4,0.00518,0.00244,2.05043,3.92835,1.36849,0.000134,0.000134,0.000134
12,5.32115,4.12993,5.29466,1.41728,0.00667,0.4,0.00518,0.00244,2.05043,3.92835,1.36849,0.00014014,0.00014014,0.00014014
13,5.76396,3.69133,5.78196,2.13047,0.00667,0.4,0.00518,0.00244,2.05043,3.92835,1.36849,0.00014496,0.00014496,0.00014496
14,6.2069,1.4967,5.57957,1.95462,0.00667,0.4,0.00518,0.00244,2.05043,3.92835,1.36849,0.00014846,0.00014846,0.00014846
15,6.63126,2.59523,4.96144,1.91293,0.00667,0.4,0.00518,0.00244,2.05043,3.92835,1.36849,0.00015064,0.00015064,0.00015064
16,7.05849,4.33592,6.55657,2.50366,0.00667,0.4,0.00518,0.00244,2.05043,3.92835,1.36849,0.0001515,0.0001515,0.0001515
